Average Close Price (USD),Average Close Price Target (USD),MACD,Stochastics,ATR
6.3,7.15,-0.0009193439354633071,60.747663551401864,0.2999999999999998
7.15,7.1,0.023632519277568126,100.0,0.8500000000000005
7.1,6.0,0.03516093465260953,97.31182795698922,0.9500000000000002
6.0,7.1,-0.019608700731887654,27.215189873417703,1.0999999999999996
7.1,6.22,0.004027269889478852,95.65217391304343,1.1099999999999994
6.22,6.95,-0.03123516603701347,19.130434782608667,1.58
6.95,6.77,-0.013258797882989198,82.6086956521739,0.7300000000000004
6.77,6.79,-0.012222521716207663,66.95652173913038,0.6699999999999999
6.79,6.52,-0.011057269353867555,68.69565217391302,0.7999999999999998
6.52,6.55,-0.02734876837488233,45.21739130434778,0.79
6.55,6.31,-0.03696636073536644,47.82608695652171,0.5700000000000003
6.31,5.5,-0.05833402096108824,26.95652173913039,0.8600000000000003
5.5,5.88,-0.12301152768214489,0.0,0.8099999999999996
5.88,4.91,-0.14070942550059312,23.030303030303017,2.2300000000000004
4.91,5.5,-0.21108149297461998,0.0,0.9699999999999998
5.5,5.58,-0.21558514763051262,26.940639269406393,0.9900000000000002
5.58,5.3,-0.20657064409102138,30.59360730593608,0.28000000000000025
5.3,5.88,-0.21171905817920364,17.808219178082183,2.42
5.88,6.28,-0.16975606977364677,47.54901960784312,0.6900000000000004
6.28,6.3,-0.10766240885078164,67.15686274509804,0.40000000000000036
6.3,5.94,-0.0585595753664539,73.93617021276594,0.41999999999999993
5.94,5.6,-0.045596048386336074,54.78723404255321,0.5599999999999996
5.6,5.6,-0.05713339154846267,42.07317073170729,0.5500000000000007
5.6,5.69,-0.06248885193545636,42.07317073170729,0.7000000000000002
5.69,5.87,-0.05712939200010389,55.71428571428576,0.3799999999999999
5.87,5.89,-0.038168031372110084,69.06474820143886,0.20999999999999996
5.89,5.88,-0.021145266951203584,70.50359712230214,0.3799999999999999
5.88,5.5,-0.008068945955017046,69.7841726618705,0.08999999999999986
5.5,5.67,-0.02374308577418141,20.000000000000018,0.3799999999999999
5.67,5.79,-0.021086762782970794,37.000000000000014,0.28000000000000025
5.79,4.89,-0.009033175849960107,49.00000000000002,0.29000000000000004
4.89,4.69,-0.06175847877929347,0.0,1.2400000000000002
4.69,4.51,-0.10961455463069805,0.0,0.3899999999999997
4.51,4.67,-0.1510175854514164,0.0,0.8300000000000001
4.67,4.23,-0.16257458353267704,11.188811188811194,0.2999999999999998
4.23,4.38,-0.19466564928648444,0.0,0.5900000000000007
4.38,4.44,-0.1985285096642001,9.036144578313225,0.14999999999999947
4.44,4.58,-0.18847939038803088,12.650602409638557,0.33999999999999986
4.58,4.51,-0.1630859106836866,21.08433734939758,0.28000000000000025
4.51,5.22,-0.14232752410550786,16.86746987951804,0.1299999999999999
5.22,4.95,-0.0701785040140212,59.99999999999998,0.71
4.95,5.0,-0.03337030552124881,46.153846153846146,0.2699999999999996
5.0,4.98,5.429970290726782e-05,49.35897435897434,0.16000000000000014
4.98,5.04,0.02506342204869949,48.07692307692309,0.29000000000000004
5.04,4.88,0.04899303335915445,81.81818181818183,0.14999999999999947
4.88,4.99,0.05571007835262959,65.65656565656565,0.3899999999999997
4.99,5.0,0.06921048212099973,76.76767676767679,0.15000000000000036
5.0,4.79,0.07987056621703259,77.77777777777779,0.14999999999999947
4.79,4.65,0.07242927235525862,56.56565656565656,0.3600000000000003
4.65,4.81,0.05736181573519372,32.1428571428572,0.39000000000000057
4.81,5.06,0.05871858274639835,47.435897435897374,0.15999999999999925
5.06,4.98,0.07796985341543522,77.46478873239435,0.29000000000000004
4.98,4.93,0.08558863263699318,66.19718309859164,0.10999999999999943
4.93,5.01,0.08680525449433621,49.1228070175438,0.16000000000000014
5.01,4.93,0.09265522845843119,87.80487804878051,0.20999999999999996
4.93,4.94,0.09004799512427117,68.29268292682924,0.14000000000000057
4.94,5.0,0.08789032602648447,70.7317073170733,0.14000000000000057
5.0,4.99,0.08959387753206835,85.36585365853665,0.16000000000000014
4.99,5.3,0.08885747237370828,82.92682926829279,0.15000000000000036
5.3,5.27,0.10921842581563301,100.0,0.3600000000000003
5.27,5.39,0.11935272755089042,95.38461538461534,0.17000000000000082
5.39,5.26,0.13255418351031314,100.0,0.16000000000000014
5.26,5.42,0.12944768561615821,82.43243243243244,0.15000000000000036
5.42,5.25,0.13556072257072793,100.0,0.16000000000000014
5.25,4.83,0.12418964026931895,65.30612244897962,0.17999999999999972
4.83,4.79,0.08279992972655736,0.0,0.54
4.79,4.96,0.048693785317452075,0.0,0.17999999999999972
4.96,4.91,0.0358048588583335,26.984126984126977,0.16999999999999993
4.91,4.78,0.022480388402316434,19.04761904761907,0.2600000000000007
4.78,4.83,0.003513441033068769,0.0,0.3100000000000005
4.83,4.54,-0.005927677913157341,7.812499999999976,0.20999999999999996
4.54,4.73,-0.03272088175793499,0.0,0.2999999999999998
4.73,4.84,-0.03644058495161166,21.59090909090914,0.20999999999999996
4.84,4.93,-0.02946642020384664,34.09090909090907,0.4299999999999997
4.93,4.84,-0.016574566252157218,44.31818181818179,0.23000000000000043
4.84,4.88,-0.012812313759033196,34.09090909090907,0.16000000000000014
4.88,4.9,-0.006268652383354875,38.636363636363626,0.15000000000000036
4.9,4.89,0.0006000642245959642,50.704225352112715,0.040000000000000036
4.89,5.04,0.0053260496696853205,83.33333333333326,0.13000000000000078
5.04,4.99,0.01986303064511946,100.0,0.2599999999999998
4.99,5.01,0.026482701583132498,90.00000000000003,0.17999999999999972
5.01,5.0,0.03230063199338359,93.99999999999994,0.14999999999999947
