Date,Average Open Price (USD),Average High Price (USD),Average Low Price (USD),Average Close Price (USD)
2014-02-07,763.1583666666667,765.5690000000001,654.1167966666667,713.0440199999999
2014-02-08,705.4737266666666,723.1495333333334,677.34,689.9308500000001
2014-02-09,691.8190833333334,743.8399333333333,684.55096,695.4566666666666
2014-02-10,698.27871,733.3333333333334,574.0,694.7772
2014-02-11,705.8466666666667,733.8882,648.0869333333334,682.8444366666668
2014-02-12,692.6862666666666,695.4162666666666,644.2963366666667,669.2186333333333
2014-02-13,664.3251,670.6451000000001,609.0565,620.7704733333334
2014-02-14,620.1582766666667,715.6333333333333,563.2133333333333,673.77988
2014-02-15,663.42438,670.5467600000001,641.9189633333334,656.1655666666667
2014-02-16,657.2125466666666,662.94162,599.3366666666667,617.91037
2014-02-17,627.7540166666666,669.2994433333333,609.8918133333333,645.2038666666666
2014-02-18,644.4522833333333,654.1691266666667,618.33,630.7400333333334
2014-02-19,632.2698,637.9952,615.96889,627.8605966666668
2014-02-20,629.25038,635.1208,565.6200400000001,567.2942066666668
2014-02-21,564.7752399999999,592.5178366666667,542.0812233333332,573.8747999999999
2014-02-22,583.2739666666666,614.5166666666668,564.4791233333334,605.3800266666667
2014-02-23,606.2063466666667,640.1107533333333,599.4741599999999,615.3233333333334
2014-02-24,606.04687,614.3902633333333,539.0289266666666,556.6402333333334
2014-02-25,551.6244133333333,560.2977966666666,425.0,528.5327699999999
2014-02-26,541.3016366666667,618.1567333333334,538.2995366666667,584.83711
2014-02-27,592.2599133333333,607.4744000000001,572.48,586.1620966666667
2014-02-28,583.0883466666668,593.5635000000001,551.9619,563.6103966666666
2014-03-01,562.2666666666667,584.2577,548.3333333333334,570.2297333333333
2014-03-02,571.12,580.8534666666667,561.8044633333334,568.2866666666667
2014-03-03,573.5377733333333,698.3333333333334,571.8332399999999,667.5445
2014-03-04,669.1368666666667,699.0799999999999,649.2460833333333,673.8666666666667
2014-03-05,670.6233333333333,681.9795033333334,656.6366666666667,675.3266666666667
2014-03-06,670.8181666666667,681.2366666666667,655.6999999999999,666.4247100000001
2014-03-07,667.5509666666667,671.1543333333333,618.72682,629.9968266666666
2014-03-08,634.2347633333334,642.9265099999999,609.2499666666666,623.3814333333333
2014-03-09,624.3002,644.0,617.1511633333333,636.3116333333334
2014-03-10,633.7966666666667,650.6966666666667,617.2800000000001,628.8218999999999
2014-03-11,629.9847433333333,641.7914099999999,595.89,629.3666666666667
2014-03-12,631.6216833333333,655.65,598.025,639.08698
2014-03-13,637.6297,651.0436699999999,628.5033666666667,645.4658599999999
2014-03-14,642.4491933333333,646.2946166666667,601.7633333333333,630.5531833333333
2014-03-15,633.0433333333334,642.5066666666667,626.8343766666667,641.6266666666667
2014-03-16,641.2423,643.83,634.3433333333334,640.65
2014-03-17,637.04383,637.2771633333333,619.8203366666667,627.72376
2014-03-18,624.6833333333334,627.3496666666666,604.01,616.7176933333334
2014-03-19,619.58,626.8443333333333,609.4433333333334,614.0873333333334
2014-03-20,613.6988633333334,625.17596,584.0466666666666,587.1533333333333
2014-03-21,585.5333333333333,609.5088466666666,568.2666666666667,576.2666666666667
2014-03-22,573.33,576.9499999999999,548.35,565.8697266666667
2014-03-23,570.3263233333333,578.5933333333334,563.0993466666667,565.24507
2014-03-24,564.2733333333333,591.7129033333333,551.16818,587.1300833333333
2014-03-25,585.4933333333333,588.42991,575.6533333333333,583.26
2014-03-26,580.9399999999999,609.3804966666667,571.3333333333334,587.1917
2014-03-27,582.9933333333333,590.0645933333334,488.2133333333333,495.4396
2014-03-28,502.57139333333333,536.6666666666666,486.09999999999997,505.3103566666667
2014-03-29,506.51997,511.0,494.31666666666666,499.6333333333334
2014-03-30,497.0584966666667,497.06183000000004,437.4745833333333,462.19200333333333
2014-03-31,469.12095,500.56666666666666,441.49333333333334,456.40530999999993
2014-04-01,460.1566133333333,499.73703666666665,456.2266666666667,483.6033333333333
2014-04-02,482.3866666666667,494.21226666666666,436.47166666666664,441.98499999999996
2014-04-03,439.84,463.5833333333333,421.52140333333335,453.8866666666666
2014-04-04,448.8634466666667,489.21000000000004,434.98,453.67716
2014-04-05,452.1281833333333,464.48333333333335,444.66984333333335,464.48333333333335
2014-04-06,465.3126666666667,465.91277999999994,451.2966666666666,457.25942333333336
2014-04-07,461.8904166666667,467.71016333333336,447.0,454.4631533333333
2014-04-08,455.80806666666666,461.2914,448.33,453.73156333333327
2014-04-09,455.91795666666667,458.12010333333336,442.6933333333333,445.72951000000006
2014-04-10,443.98,444.2366666666667,365.23557666666665,368.30116666666663
2014-04-11,362.06809,480.99109,339.5160133333333,423.42
2014-04-12,423.92,439.8333333333333,418.24333666666666,428.8066666666667
2014-04-13,422.97000333333335,429.57666333333333,402.8183033333334,416.7699666666667
2014-04-14,410.2594266666667,473.0217566666667,407.49609333333336,456.1857866666667
2014-04-15,462.04328000000004,539.1397566666666,452.3395933333333,523.7046266666666
2014-04-16,520.97103,538.4526466666666,494.52526000000006,525.2600566666666
2014-04-17,524.11339,528.8028733333333,489.38678666666664,501.54929666666663
2014-04-18,501.36073000000005,508.78000000000003,476.9201166666667,486.34122666666667
2014-04-19,485.2879666666667,514.2374166666667,479.1599033333334,504.43018
2014-04-20,507.13015,512.9933333333333,501.0,505.7280733333334
2014-04-21,505.69,514.1034133333334,490.25666666666666,496.7189433333333
2014-04-22,499.60558666666674,505.4633333333333,485.9407966666667,489.24147666666664
2014-04-23,492.57081,495.93153666666666,484.5366666666667,492.60899666666666
2014-04-24,490.98,501.9937733333333,483.33333666666664,501.06044
2014-04-25,497.30541,498.3487433333333,444.42333,465.98345666666665
2014-04-26,466.95667,471.19518999999997,453.8933333333334,460.56724
2014-04-27,460.9672333333333,462.0505666666666,435.4666666666667,435.48333333333335
2014-04-28,433.0,451.75140000000005,428.69513333333333,444.99821999999995
2014-04-29,441.0748866666667,453.03109333333333,433.0709,442.55989
2014-04-30,448.02818666666667,452.27146,438.2700933333333,448.4877266666667
2014-05-01,449.27,464.43255666666664,448.9166666666667,459.76489666666663
2014-05-02,458.6868133333333,459.56681333333336,446.00136999999995,454.3879366666667
2014-05-03,451.42633333333333,452.85912333333334,432.0118333333333,440.1917133333333
2014-05-04,438.4135533333333,442.95467,430.52879666666666,436.9699966666667
2014-05-05,436.2946833333333,441.6266633333333,426.8933333333334,429.73
2014-05-06,429.1233333333334,435.06324666666666,420.74333333333334,429.95984
2014-05-07,430.28983666666664,451.15474,427.72424666666666,439.96205000000003
2014-05-08,442.5770733333334,449.6932533333333,439.64300000000003,442.91724666666664
2014-05-09,440.4696666666667,456.10404666666665,439.66966666666667,449.66501
2014-05-10,451.80167666666665,456.49666666666667,448.32890000000003,453.8260133333333
2014-05-11,452.6051466666666,452.7718133333333,431.00935000000004,437.83223
2014-05-12,436.44919333333337,443.33057,432.2576633333333,441.1059533333334
2014-05-13,442.0799666666667,442.16996666666665,433.57999666666666,439.0496666666666
